T+,TEMP1,TEMP2,TEMP3,LOAD,PRESSURE,VALVE
-18.5,20.57,21.44,-273.15,-0.09,0.96,0
-18.4,20.57,20.57,-8.22,-0.09,1.0,0
-18.3,20.57,20.28,-273.15,-0.09,1.0,0
-18.2,19.98,19.98,-273.15,-0.09,1.0,0
-18.1,20.28,20.28,-273.15,-0.1,1.0,0
-18.0,19.68,19.98,-7.33,-0.09,0.96,0
-17.9,20.28,20.28,-273.15,-0.09,0.96,0
-17.8,19.98,20.57,4.05,-0.09,0.96,0
-17.7,20.28,19.68,-273.15,-0.09,0.96,0
-17.7,20.28,19.98,-273.15,-0.1,0.96,0
-17.6,20.28,20.28,-14.51,-0.1,0.96,0
-17.5,21.44,20.57,-273.15,-0.09,0.96,0
-17.4,20.57,20.86,8.43,-0.1,1.0,0
-17.3,19.98,20.28,-12.2,-0.1,0.96,0
-17.2,20.28,20.28,-273.15,-0.1,1.0,0
-17.1,19.98,19.98,5.09,-0.1,0.96,0
-17.1,20.57,20.28,-17.13,-0.1,1.0,0
-17.0,20.57,20.28,-273.15,-0.1,1.0,0
-16.9,20.86,19.98,-273.15,-0.11,0.96,0
-16.8,20.28,20.28,-17.13,-0.1,0.96,0
-16.7,20.57,20.28,-273.15,-0.1,1.0,0
-16.6,20.86,20.28,-18.58,-0.1,0.91,0
-16.5,20.86,19.98,-273.15,-0.1,0.96,0
-16.4,20.86,20.86,-273.15,-0.09,1.0,0
-16.3,19.98,20.28,1.24,-0.1,0.96,0
-16.2,20.57,20.28,-273.15,-0.1,0.96,0
-16.1,20.57,20.86,-15.78,-0.1,0.96,0
-16.0,20.28,20.28,-273.15,-0.11,0.96,0
-15.9,20.28,18.76,-273.15,-0.1,1.0,0
-15.9,20.28,20.28,-2.65,-0.1,1.0,0
-15.8,20.57,20.28,-273.15,-0.1,0.96,0
-15.7,20.28,20.28,-18.58,-0.1,0.96,0
-15.6,20.57,20.28,-273.15,-0.11,0.96,0
-15.5,19.98,20.28,-273.15,-0.1,1.0,0
-15.4,20.86,20.28,-4.1,-0.1,0.96,0
-15.3,20.28,19.98,-273.15,-0.1,1.0,0
-15.2,20.28,20.28,-15.78,-0.1,1.0,0
-15.1,20.28,20.28,5.09,-0.11,0.91,0
-15.0,20.28,20.28,-18.58,-0.1,0.91,0
-14.9,20.28,20.57,-8.22,-0.1,0.91,0
-14.8,20.86,20.28,-273.15,-0.1,0.96,0
-14.7,19.98,19.98,-273.15,-0.1,0.96,0
-14.7,19.98,19.98,-8.22,-0.1,0.96,0
-14.6,20.86,20.57,-273.15,-0.11,0.96,0
-14.5,20.57,19.68,-1.95,-0.11,0.91,0
-14.4,20.28,20.28,-273.15,-0.1,0.96,0
-14.3,20.57,20.86,-273.15,-0.1,1.0,0
-14.2,20.86,20.28,8.88,-0.11,1.0,0
-14.1,20.28,19.98,-273.15,-0.11,0.96,0
-14.0,20.86,20.28,-12.2,-0.1,0.96,0
-13.9,20.28,20.57,-273.15,-0.1,0.96,0
