T,TEMP1,TEMP2,TEMP3,LOAD,PRESSURE,VALVE
21.3,20.57,20.86,-13.32,-0.05,1.00,0
21.4,19.38,20.28,-273.15,-0.05,1.00,0
21.5,20.28,20.28,-273.15,-0.06,0.96,0
21.6,20.57,20.57,6.58,-0.06,1.00,0
21.7,20.28,18.14,-273.15,-0.06,0.96,0
21.8,20.28,20.57,-15.78,-0.06,0.96,0
21.9,20.28,20.28,-273.15,-0.06,0.96,0
22.0,20.86,19.98,-273.15,-0.07,1.00,0
22.1,20.57,19.98,3.51,-0.07,0.91,0
22.1,20.57,19.68,-273.15,-0.07,0.96,0
22.2,20.28,18.76,-17.13,-0.07,0.96,0
22.4,20.57,19.98,-273.15,-0.07,0.96,0
22.4,20.57,20.28,6.09,-0.07,0.96,0
22.5,20.28,20.28,-20.15,-0.07,0.96,0
22.6,20.86,19.38,-273.15,-0.07,0.91,0
22.7,20.57,21.15,-20.15,-0.07,1.00,0
22.8,20.28,21.72,-273.15,-0.08,0.96,0
22.9,19.98,20.57,-273.15,-0.08,0.91,0
23.0,20.57,19.68,6.58,-0.07,0.96,0
23.1,20.57,20.57,-273.15,-0.07,1.00,0
23.2,20.28,20.28,-13.32,-0.07,0.96,0
23.3,20.28,20.57,-1.95,-0.08,0.96,0
23.3,20.28,20.28,-18.58,-0.08,0.96,0
23.4,19.38,20.28,-6.48,-0.08,0.96,0
23.5,20.57,19.98,-273.15,-0.08,1.00,0
23.6,20.28,19.98,-20.15,-0.08,1.00,0
23.7,20.28,20.57,-12.20,-0.07,0.96,0
23.8,20.57,19.38,-273.15,-0.08,1.00,0
23.9,20.28,20.28,-10.11,-0.09,1.04,0
24.0,20.28,20.57,-273.15,-0.09,0.96,0
24.1,20.28,21.72,-28.23,-0.08,0.96,0
24.2,20.57,20.28,-9.15,-0.08,1.00,0
24.3,20.57,21.44,-273.15,-0.09,0.96,0
24.4,20.57,20.57,-8.22,-0.09,1.00,0
24.5,20.57,20.28,-273.15,-0.09,1.00,0
24.6,19.98,19.98,-273.15,-0.09,1.00,0
24.7,20.28,20.28,-273.15,-0.10,1.00,0
24.8,19.68,19.98,-7.33,-0.09,0.96,0
24.9,20.28,20.28,-273.15,-0.09,0.96,0
25.0,19.98,20.57,4.05,-0.09,0.96,0
25.1,20.28,19.68,-273.15,-0.09,0.96,0
25.1,20.28,19.98,-273.15,-0.10,0.96,0
25.2,20.28,20.28,-14.51,-0.10,0.96,0
25.3,21.44,20.57,-273.15,-0.09,0.96,0
25.4,20.57,20.86,8.43,-0.10,1.00,0
25.5,19.98,20.28,-12.20,-0.10,0.96,0
25.6,20.28,20.28,-273.15,-0.10,1.00,0
25.7,19.98,19.98,5.09,-0.10,0.96,0
25.7,20.57,20.28,-17.13,-0.10,1.00,0
25.8,20.57,20.28,-273.15,-0.10,1.00,0
25.9,20.86,19.98,-273.15,-0.11,0.96,0
26.0,20.28,20.28,-17.13,-0.10,0.96,0
26.1,20.57,20.28,-273.15,-0.10,1.00,0
26.2,20.86,20.28,-18.58,-0.10,0.91,0
26.3,20.86,19.98,-273.15,-0.10,0.96,0
26.4,20.86,20.86,-273.15,-0.09,1.00,0
26.5,19.98,20.28,1.24,-0.10,0.96,0
26.6,20.57,20.28,-273.15,-0.10,0.96,0
26.7,20.57,20.86,-15.78,-0.10,0.96,0
26.8,20.28,20.28,-273.15,-0.11,0.96,0
26.9,20.28,18.76,-273.15,-0.10,1.00,0
26.9,20.28,20.28,-2.65,-0.10,1.00,0
27.0,20.57,20.28,-273.15,-0.10,0.96,0
27.1,20.28,20.28,-18.58,-0.10,0.96,0
27.2,20.57,20.28,-273.15,-0.11,0.96,0
27.3,19.98,20.28,-273.15,-0.10,1.00,0
27.4,20.86,20.28,-4.10,-0.10,0.96,0
27.5,20.28,19.98,-273.15,-0.10,1.00,0
27.6,20.28,20.28,-15.78,-0.10,1.00,0
27.7,20.28,20.28,5.09,-0.11,0.91,0
27.8,20.28,20.28,-18.58,-0.10,0.91,0
27.9,20.28,20.57,-8.22,-0.10,0.91,0
28.0,20.86,20.28,-273.15,-0.10,0.96,0
28.1,19.98,19.98,-273.15,-0.10,0.96,0
28.1,19.98,19.98,-8.22,-0.10,0.96,0
28.2,20.86,20.57,-273.15,-0.11,0.96,0
28.3,20.57,19.68,-1.95,-0.11,0.91,0
28.4,20.28,20.28,-273.15,-0.10,0.96,0
28.5,20.57,20.86,-273.15,-0.10,1.00,0
28.6,20.86,20.28,8.88,-0.11,1.00,0
28.7,20.28,19.98,-273.15,-0.11,0.96,0
28.8,20.86,20.28,-12.20,-0.10,0.96,0
28.9,20.28,20.57,-273.15,-0.10,0.96,0
29.0,20.57,19.98,-273.15,-0.10,1.00,0
29.1,20.28,20.28,7.05,-0.10,0.91,0
29.2,20.57,19.98,-273.15,-0.10,1.00,0
29.2,20.28,19.98,-12.20,-0.10,0.96,0
29.3,21.15,20.28,-273.15,-0.11,0.96,0
29.4,19.98,19.68,-273.15,-0.11,0.96,0
29.5,20.28,19.98,5.09,-0.10,1.00,0
29.6,19.38,18.14,-273.15,-0.10,0.96,0
29.7,19.68,19.68,-273.15,-0.10,0.96,0
29.8,20.86,20.28,2.96,-0.10,0.96,0
29.9,20.28,19.07,-14.51,-0.10,0.96,0
30.0,20.57,19.38,-1.28,-0.10,0.96,0
30.1,20.28,20.86,-273.15,-0.11,0.96,0
30.2,20.28,20.28,-20.15,-0.11,1.00,0
30.3,20.28,20.28,-273.15,-0.11,1.04,0
30.4,20.28,20.28,-273.15,-0.11,1.00,0
30.4,20.57,20.57,7.98,-0.11,0.96,0
30.5,20.28,19.38,-273.15,-0.10,0.96,0
30.6,20.28,20.28,-12.20,-0.10,1.00,0
30.7,21.44,21.72,-0.63,-0.10,1.00,0
30.8,20.28,20.28,-20.15,-0.10,0.96,0
